"cruiseID","station","time","lat","lon","temp","sal","depth","ODO_molL","ODO_perc","turb","chla","sigma0"
"V2108","TA7","02-Aug-2021 22:37:43",77.94948,-78.29783,-0.435145786830357,31.8391601017543,29.75,390.777997698103,105.425804138184,0.908412388392857,0.149823869977679,25.5767978405465
"V2108","SV7","NaN",NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"V2108","SV7","17-Aug-2021 13:11:56",75.77287,-83.2923,1.23504977756076,31.5289478302002,0.75,383.04990641276,107.747717963325,0.479926215277778,0.915595160590278,25.2451338147366
"V2108","SV7","17-Aug-2021 13:13:35",75.77287,-83.2923,1.14320373535156,31.5705604553223,1.25,383.061869303385,107.525829315186,0.4527587890625,1.40463256835938,25.2840404073111
"V2108","SV7","17-Aug-2021 13:13:36",75.77287,-83.2923,1.09102172851562,31.6143947601318,1.75,383.356799316406,107.495364379883,0.53056640625,1.58140869140625,25.3223220398099
"V2108","SV7","17-Aug-2021 13:13:37",75.77287,-83.2923,1.09807739257813,31.6541042327881,2.25,384.075744628906,107.746034240723,0.57568359375,1.80128173828125,25.3537972187116
"V2108","SV7","17-Aug-2021 13:13:37",75.77287,-83.2923,0.929692586263021,31.7425619761149,2.75,384.727213541667,107.523081461589,0.57470703125,1.91982014973958,25.4346257983429
"V2108","SV7","17-Aug-2021 13:13:38",75.77287,-83.2923,0.559809366861979,31.8871749242147,3.25,383.034225463867,106.127132415771,0.5814208984375,2.5552978515625,25.571175027992
"V2108","SV7","17-Aug-2021 13:13:39",75.77287,-83.2923,0.503148396809896,31.9531405766805,3.75,382.41200764974,105.845200856527,0.754231770833333,3.18646240234375,25.627224727963
"V2108","SV7","17-Aug-2021 13:13:40",75.77287,-83.2923,0.456232706705729,32.0133813222249,4.25,387.448038736979,107.151812235514,0.795206705729167,4.10983276367188,25.678144097458
"V2108","SV7","17-Aug-2021 13:13:40",75.77287,-83.2923,0.327346801757812,32.0773754119873,4.75,388.577646891276,107.148286183675,0.771525065104167,4.66427612304688,25.7362133128593
"V2108","SV7","17-Aug-2021 13:13:41",75.77287,-83.2923,0.234293619791667,32.1334037780762,5.25,389.10578918457,107.072917938232,0.705485026041667,17.5567118326823,25.7859472494401
"V2108","SV7","17-Aug-2021 13:13:42",75.77287,-83.2923,0.219371795654297,32.1513857841492,5.75,391.249240875244,107.633878707886,0.736114501953125,15.9700622558594,25.8011644590542
"V2108","SV7","17-Aug-2021 13:13:43",75.77287,-83.2923,0.228924560546875,32.1598815917969,6.25,394.186395263672,108.475511169434,0.81298828125,13.0628662109375,25.8075439299339
"V2108","SV7","17-Aug-2021 13:13:44",75.77287,-83.2923,0.255786895751953,32.1736154556274,6.75,391.567775726318,107.841390609741,0.868560791015625,12.1369857788086,25.8172913549722
"V2108","SV7","17-Aug-2021 13:13:45",75.77287,-83.2923,0.183490753173828,32.200701713562,7.25,390.225944519043,107.287424087524,0.84478759765625,12.4987716674805,25.8426471236576
"V2108","SV7","17-Aug-2021 13:13:46",75.77287,-83.2923,0.127044677734375,32.2119255065918,7.75,387.666607666016,106.433474731445,0.869775390625,11.2951171875,25.8544031912543
"V2108","SV7","17-Aug-2021 13:13:46",75.77287,-83.2923,0.073272705078125,32.2162526448568,8.25,385.101750691732,105.582679748535,0.7069091796875,11.6184488932292,25.8604338528121
"V2108","SV7","17-Aug-2021 13:13:47",75.77287,-83.2923,0.037841796875,32.2279682159424,8.75,382.136096954346,104.679818153381,0.672027587890625,9.54871368408203,25.8715345801547
"V2108","SV7","17-Aug-2021 13:13:48",75.77287,-83.2923,0.0160903930664062,32.235604763031,9.25,380.540878295898,104.188430786133,0.64581298828125,10.4577255249023,25.8787003322129
"V2108","SV7","17-Aug-2021 13:13:49",75.77287,-83.2923,-0.005438232421875,32.2475547790527,9.75,378.93974609375,103.699513244629,0.683349609375,9.17041015625,25.8893292280543
"V2108","SV7","17-Aug-2021 13:13:50",75.77287,-83.2923,-0.0125681559244792,32.2555554707845,10.25,377.066777547201,103.173231760661,0.786702473958333,10.5636291503906,25.8961085859378
"V2108","SV7","17-Aug-2021 13:13:50",75.77287,-83.2923,-0.0152239118303571,32.2533384050642,10.75,373.751416887556,102.257341657366,0.712751116071429,10.1046142578125,25.8944413058869
"V2108","SV7","17-Aug-2021 13:13:51",75.77287,-83.2923,-0.0197361537388393,32.2606653485979,11.25,372.037950788225,101.781537737165,0.771728515625,9.81838553292411,25.9005565538514
"V2108","SV7","17-Aug-2021 13:13:52",75.77287,-83.2923,-0.02327880859375,32.2635101318359,11.75,371.812628173828,101.712368774414,0.740966796875,9.08616943359375,25.9030122413265
"V2108","SV7","17-Aug-2021 13:13:53",75.77287,-83.2923,-0.0654106140136719,32.3014135360718,12.25,371.583515167236,101.563084602356,0.760467529296875,9.75267028808594,25.9355030228867
"V2108","SV7","17-Aug-2021 13:13:54",75.77287,-83.2923,-0.088824462890625,32.3340751647949,12.75,369.056225585938,100.832553100586,0.755322265625,9.0046630859375,25.9629090490032
"V2108","SV7","17-Aug-2021 13:13:54",75.77287,-83.2923,-0.0811811174665179,32.3397374834333,13.25,372.990099225725,101.932051522391,0.777134486607143,7.89392961774554,25.9671312364617
"V2108","SV7","17-Aug-2021 13:13:55",75.77287,-83.2923,-0.0733846028645833,32.3523654937744,13.75,372.422358194987,101.806725819906,0.876790364583333,8.46127319335938,25.9769647965177
"V2108","SV7","17-Aug-2021 13:13:56",75.77287,-83.2923,-0.06806640625,32.3563453674316,14.25,370.299176025391,101.243405151367,0.843798828125,7.8622802734375,25.9799331231816
"V2108","SV7","17-Aug-2021 13:13:57",75.77287,-83.2923,-0.074005126953125,32.3680714198521,14.75,366.685359409877,100.247723170689,0.91064453125,7.85863385881696,25.9896613830813
"V2108","SV7","17-Aug-2021 13:13:57",75.77287,-83.2923,-0.0917750767299107,32.3815416608538,15.25,368.088152204241,100.593263898577,1.03864397321429,7.03168596540179,26.0013321617157
"V2108","SV7","17-Aug-2021 13:13:58",75.77287,-83.2923,-0.101465861002604,32.3880246480306,15.75,365.55192565918,99.8790117899577,1.07112630208333,6.32021077473958,26.0069989042513
